id;date;ville;produit;quantite;prix_unitaire;total
111;2026-02-28;Inconnue;Souris;3.0;65.35;196.04999999999998
112;2026-04-24;Valenciennes;Casque;6.0;243.18;1459.08
113;2026-02-16;Lille;Souris;6.0;77.96;467.76
114;2026-02-20;Douai;Écran;2.0;88.63;177.26
115;2026-10-19;Lille;Casque;2.0;11.99;23.98
116;2026-05-22;Douai;Casque;1.0;175.12;175.12
117;2026-05-23;Valenciennes;Casque;5.0;77.53;387.65
118;2026-02-18;Lille;Casque;2.0;83.8;167.6
119;2026-01-10;Arras;Casque;4.0;27.35;109.4
120;2026-05-13;Lille;Clavier;2.0;228.97;457.94
